produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ABACAXI                  ;PÉROLA              ;6320;AC        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,67
ABACAXI                  ;PÉROLA              ;6320;AL        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,33
ABACAXI                  ;PÉROLA              ;6320;AM        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;6,95
ABACAXI                  ;PÉROLA              ;6320;AP        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,3
ABACAXI                  ;PÉROLA              ;6320;CE        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,0
ABACAXI                  ;PÉROLA              ;6320;DF        ;CENTRO-OESTE   ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,53
ABACAXI                  ;PÉROLA              ;6320;ES        ;SUDESTE        ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,24
ABACAXI                  ;PÉROLA              ;6320;GO        ;CENTRO-OESTE   ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,26
ABACAXI                  ;PÉROLA              ;6320;MG        ;SUDESTE        ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,09
ABACAXI                  ;PÉROLA              ;6320;PA        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,33
ABACAXI                  ;PÉROLA              ;6320;PB        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,38
ABACAXI                  ;PÉROLA              ;6320;PE        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,61
ABACAXI                  ;HAVAÍ               ;6319;PR        ;SUL            ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,33
ABACAXI                  ;PÉROLA              ;6320;RJ        ;SUDESTE        ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,03
ABACAXI                  ;PÉROLA              ;6320;RN        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,05
ABACAXI                  ;PÉROLA              ;6320;RO        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,55
ABACAXI                  ;IMPERIAL            ;14887;RR        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,5
ABACAXI                  ;TERRA DE AREIA      ;11148;RS        ;SUL            ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,48
ABACAXI                  ;PÉROLA              ;6320;SE        ;NORDESTE       ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,62
ABACAXI                  ;PÉROLA              ;6320;TO        ;NORTE          ;2024;12;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,0
ABACAXI                  ;PÉROLA              ;6320;AC        ;NORTE          ;2025;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,67
ABACAXI                  ;PÉROLA              ;6320;AM        ;NORTE          ;2025;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;10,25
ABACAXI                  ;PÉROLA              ;6320;AP        ;NORTE          ;2025;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,5
ABACAXI                  ;PÉROLA              ;6320;CE        ;NORDESTE       ;2025;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;5,0
ABACAXI                  ;PÉROLA              ;6320;DF        ;CENTRO-OESTE   ;2025;1;PREÇO RECEBIDO P/ PRODUTOR                                  ;7,0
